Team,OFF_G,OFF_MP,OFF_FG,OFF_FGA,OFF_FG%,OFF_3P,OFF_3PA,OFF_3P%,OFF_2P,OFF_2PA,OFF_2P%,OFF_FT,OFF_FTA,OFF_FT%,OFF_ORB,OFF_DRB,OFF_TRB,OFF_AST,OFF_STL,OFF_BLK,OFF_TOV,OFF_PF,OFF_PTS,DEF_G,DEF_MP,DEF_FG,DEF_FGA,DEF_FG%,DEF_3P,DEF_3PA,DEF_3P%,DEF_2P,DEF_2PA,DEF_2P%,DEF_FT,DEF_FTA,DEF_FT%,DEF_ORB,DEF_DRB,DEF_TRB,DEF_AST,DEF_STL,DEF_BLK,DEF_TOV,DEF_PF,DEF_PTS
Memphis Grizzlies,54,240.0,45.3,93.3,0.486,14.1,37.5,0.375,31.2,55.8,0.559,18.6,24.3,0.768,13.3,34.5,47.8,29.1,9.1,6.0,16.6,21.1,123.3,54,240.0,41.6,92.4,0.451,13.8,39.5,0.35,27.8,52.9,0.526,18.7,24.6,0.76,12.0,31.2,43.1,26.6,9.4,5.6,15.9,20.9,115.8
Cleveland Cavaliers,54,240.0,45.0,90.4,0.498,16.2,41.2,0.393,28.7,49.1,0.585,16.5,21.0,0.788,10.5,34.3,44.8,29.1,8.4,4.5,13.1,18.5,122.7,54,240.0,41.1,90.2,0.455,13.4,36.8,0.363,27.7,53.4,0.519,16.4,21.1,0.778,11.2,32.2,43.4,25.5,7.7,4.5,14.7,18.4,111.9
Denver Nuggets,55,241.8,45.8,89.9,0.51,11.8,31.2,0.379,34.0,58.7,0.579,18.1,23.2,0.777,11.2,34.6,45.8,31.3,8.4,4.8,14.1,17.6,121.5,55,241.8,43.1,93.3,0.462,13.9,38.6,0.36,29.3,54.7,0.535,15.7,20.2,0.777,11.8,30.5,42.3,29.3,8.7,5.3,13.4,19.0,115.9
New York Knicks,54,241.4,44.1,88.9,0.496,12.8,34.0,0.376,31.3,54.9,0.57,17.5,21.6,0.807,10.9,32.1,43.0,27.6,8.0,3.8,13.1,17.1,118.4,54,241.4,41.7,88.2,0.473,13.5,35.8,0.378,28.2,52.4,0.538,15.5,19.5,0.793,10.8,30.4,41.2,25.9,6.9,5.0,14.1,19.5,112.5
Oklahoma City Thunder,54,240.0,43.9,92.5,0.475,13.9,38.7,0.359,30.0,53.7,0.559,16.1,19.6,0.822,10.9,33.6,44.6,26.1,10.9,5.6,11.9,20.4,117.8,54,240.0,36.8,85.4,0.431,12.6,38.2,0.33,24.2,47.2,0.513,18.8,24.6,0.762,11.9,33.6,45.5,24.2,6.6,4.8,18.1,18.0,104.9
Boston Celtics,55,242.3,41.6,90.5,0.46,17.7,48.3,0.367,23.9,42.2,0.566,16.2,20.4,0.793,10.8,34.3,45.1,25.8,7.3,5.7,11.8,16.4,117.2,55,242.3,40.4,89.7,0.45,12.7,36.4,0.349,27.7,53.3,0.519,14.7,18.5,0.793,10.5,33.8,44.3,24.0,6.8,4.0,13.2,18.5,108.1
Sacramento Kings,55,243.2,43.3,91.4,0.474,12.4,35.9,0.345,30.9,55.5,0.558,17.8,22.1,0.804,11.1,33.9,45.0,26.9,7.8,4.7,13.3,19.3,116.8,55,243.2,41.7,89.1,0.468,14.5,38.5,0.377,27.2,50.6,0.538,18.1,22.7,0.797,10.1,33.2,43.3,26.7,7.9,4.7,14.3,19.0,116.0
Atlanta Hawks,55,241.8,42.5,91.8,0.463,13.0,37.4,0.348,29.5,54.4,0.542,18.6,24.1,0.772,11.9,33.1,45.0,29.4,10.1,5.2,16.0,18.7,116.7,55,241.8,43.7,90.9,0.481,14.2,38.3,0.37,29.5,52.6,0.561,17.6,21.9,0.806,10.4,34.3,44.7,28.5,9.5,5.2,16.6,20.1,119.1
Chicago Bulls,55,240.5,42.5,91.6,0.464,15.8,43.0,0.368,26.7,48.6,0.548,15.2,19.0,0.798,9.7,35.5,45.2,28.8,7.5,4.8,15.1,17.9,116.0,55,240.5,45.1,95.2,0.473,13.6,39.6,0.345,31.4,55.6,0.565,16.9,21.6,0.785,11.1,35.8,46.9,29.2,8.2,5.1,12.5,16.5,120.7
Indiana Pacers,53,241.4,43.3,88.8,0.488,12.6,34.2,0.368,30.7,54.5,0.563,16.8,21.5,0.783,9.1,32.3,41.4,28.9,8.5,5.1,13.4,19.1,116.0,53,241.4,42.3,89.1,0.474,13.2,36.7,0.361,29.0,52.4,0.554,17.8,22.9,0.778,11.2,33.6,44.8,26.5,7.4,4.5,14.9,18.6,115.6
Dallas Mavericks,56,240.9,42.3,88.3,0.479,13.1,35.2,0.372,29.2,53.1,0.55,18.0,23.3,0.773,11.0,33.3,44.3,25.3,7.9,6.0,14.2,18.6,115.7,56,240.9,42.0,91.4,0.459,13.1,36.1,0.362,28.9,55.4,0.522,16.5,21.4,0.771,12.3,32.3,44.5,26.6,8.1,4.7,13.5,18.9,113.5
Milwaukee Bucks,53,240.5,41.8,87.2,0.48,14.4,37.3,0.387,27.4,49.9,0.549,16.2,21.8,0.739,8.5,35.5,44.0,25.3,7.2,4.9,13.6,18.5,114.3,53,240.5,41.2,91.0,0.452,13.9,39.6,0.352,27.2,51.4,0.529,16.6,21.0,0.792,11.1,34.9,46.1,26.0,7.5,4.0,12.9,18.5,112.9
Detroit Pistons,55,241.8,42.2,89.8,0.47,13.0,36.1,0.36,29.2,53.8,0.543,16.2,20.7,0.784,11.5,33.8,45.3,26.0,7.8,5.0,15.4,20.3,113.6,55,241.8,40.7,87.6,0.464,13.8,37.3,0.37,26.9,50.3,0.534,18.0,23.1,0.778,10.1,32.1,42.2,25.4,9.3,4.9,14.8,18.0,113.1
Los Angeles Lakers,52,240.5,41.3,85.5,0.484,12.3,34.2,0.36,29.0,51.3,0.567,18.3,23.1,0.79,9.2,32.8,41.9,26.8,7.6,4.7,13.6,16.7,113.3,52,240.5,41.9,89.6,0.467,13.3,37.6,0.354,28.6,52.0,0.549,15.5,19.5,0.792,11.1,32.0,43.1,27.6,7.9,4.2,13.7,19.5,112.5
Phoenix Suns,54,241.9,40.7,85.9,0.474,14.1,37.6,0.375,26.6,48.3,0.55,17.8,22.1,0.804,9.3,33.2,42.5,27.4,7.5,5.1,14.0,18.1,113.2,54,241.9,41.9,90.7,0.462,13.6,38.2,0.356,28.3,52.6,0.539,17.5,22.3,0.786,12.4,33.2,45.6,26.4,8.3,4.2,12.5,19.2,115.0
San Antonio Spurs,52,241.0,41.2,89.3,0.461,13.8,39.5,0.35,27.4,49.9,0.549,16.8,21.3,0.788,11.0,33.9,45.0,28.9,7.9,6.5,14.2,16.3,113.0,52,241.0,43.3,93.2,0.464,13.8,38.5,0.359,29.5,54.8,0.539,14.1,18.0,0.784,12.1,34.0,46.1,26.6,8.4,4.5,13.3,18.0,114.4
Houston Rockets,55,241.4,41.6,93.2,0.446,12.1,35.5,0.339,29.5,57.7,0.512,17.5,23.4,0.749,14.7,33.3,48.0,22.7,8.9,5.1,13.8,19.7,112.7,55,241.4,39.9,87.8,0.454,12.2,34.4,0.355,27.7,53.4,0.518,16.7,22.2,0.753,10.9,32.0,42.9,22.7,7.7,6.2,15.0,20.0,108.6
Utah Jazz,54,241.9,40.1,87.4,0.459,13.9,39.2,0.355,26.2,48.3,0.543,18.2,23.0,0.792,12.2,33.3,45.5,25.6,6.7,4.9,17.6,19.4,112.3,54,241.9,43.6,91.5,0.477,14.5,40.6,0.358,29.1,50.9,0.572,17.6,23.1,0.765,11.2,31.4,42.6,28.7,9.7,6.4,11.9,20.1,119.4
Golden State Warriors,55,240.5,40.7,91.7,0.444,15.3,42.5,0.359,25.4,49.1,0.518,15.3,20.9,0.731,12.7,33.3,46.0,28.6,8.8,5.0,13.9,19.6,111.9,55,240.5,40.6,87.9,0.462,13.4,37.3,0.359,27.3,50.6,0.538,17.0,22.0,0.774,10.4,34.4,44.8,26.2,7.5,5.8,14.8,17.9,111.6
